model,fold_id,uf,onset_week_error,peak_timing_error,peak_magnitude_error,total_cases_error
ensemble_conformal,1,AC,0.0,-6,-0.7801585575495751,-0.01997812451036415
ensemble_conformal,1,AL,0.0,7,0.4745943029543345,0.8775404359412606
ensemble_conformal,1,AM,0.0,4,-1.0288976560527485,-0.6176953350258874
ensemble_conformal,1,AP,-12.0,-26,-2.1000608288825715,-0.40626490130554765
ensemble_conformal,1,BA,7.0,-3,0.05270540572830676,-0.21378132717497625
ensemble_conformal,1,CE,0.0,0,0.6271562263420591,0.5224878557399579
ensemble_conformal,1,DF,3.0,1,-0.2506518475046368,-0.584608614419698
ensemble_conformal,1,GO,1.0,7,0.14755869814510542,0.3537998952173815
ensemble_conformal,1,MA,3.0,8,-0.46983109108589627,0.08354209421092415
ensemble_conformal,1,MG,-1.0,2,-1.5438480945937834,-1.2509176172722256
ensemble_conformal,1,MS,5.0,6,-1.1595122671774127,-0.826238358003028
ensemble_conformal,1,MT,-1.0,5,-0.8602550738908203,-0.452818940995908
ensemble_conformal,1,PA,0.0,6,-0.6361438667824423,-0.07305014050593372
ensemble_conformal,1,PB,0.0,1,0.3304461052280572,0.6782804050837941
ensemble_conformal,1,PE,0.0,7,0.42460518519861845,1.3166711351106377
ensemble_conformal,1,PI,-10.0,7,-0.6300431740852431,-0.09505451398133852
ensemble_conformal,1,PR,-11.0,1,-1.9274433969895273,-1.4053251320217959
ensemble_conformal,1,RJ,1.0,3,-0.7559394121181499,-0.6046844384705934
ensemble_conformal,1,RN,0.0,3,0.24057760326430747,0.8625300877033006
ensemble_conformal,1,RO,0.0,9,-2.3120565012094683,-1.5203722520782528
ensemble_conformal,1,RR,-1.0,-23,-0.9788375404001362,0.7463898433831976
ensemble_conformal,1,RS,-5.0,-1,-0.3395301068361035,-0.21382817746423263
ensemble_conformal,1,SC,-4.0,-4,-2.846119220258258,-2.444009445442086
ensemble_conformal,1,SE,0.0,0,-0.2055821243842624,0.04988749542649723
ensemble_conformal,1,SP,-4.0,-2,-0.8774427091198094,-0.6019128930522158
ensemble_conformal,1,TO,0.0,-2,0.22134012431505898,0.47260702051847087
ensemble_conformal,2,AC,-3.0,8,-2.3924800971105937,-0.8013967969813365
ensemble_conformal,2,AL,-16.0,-6,-0.7193253539783925,-0.5391985391326518
ensemble_conformal,2,AM,-1.0,3,-1.875190249052058,-0.8173360558969013
ensemble_conformal,2,AP,-12.0,8,-3.5263605246161616,-2.8713488430257743
ensemble_conformal,2,BA,-16.0,2,-2.456528652006993,-1.8526905876093727
ensemble_conformal,2,CE,-14.0,4,0.18119732958167356,0.874718369952807
ensemble_conformal,2,DF,-9.0,9,-4.183972908558995,-2.914602703880987
ensemble_conformal,2,GO,-12.0,3,-1.8683327163729002,-1.5325696462229204
ensemble_conformal,2,MA,-12.0,3,-1.5878306838463463,-0.7963707482921695
ensemble_conformal,2,MG,-6.0,6,-3.462194486734712,-2.9631860150770177
ensemble_conformal,2,MS,-8.0,3,-0.19445097359125393,0.05164234255602989
ensemble_conformal,2,MT,-6.0,-3,-0.9695086961931756,-0.5984431823794156
ensemble_conformal,2,PA,-12.0,2,-1.6699619761530098,-1.2092004867777317
ensemble_conformal,2,PB,-1.0,7,-0.9295489668388635,0.13640914563045967
ensemble_conformal,2,PE,-1.0,2,-0.48866781016776883,-0.11984134444534061
ensemble_conformal,2,PI,1.0,8,-1.7124427143994676,-0.9024817944907815
ensemble_conformal,2,PR,-4.0,1,-2.0566699848988894,-2.0229336906126503
ensemble_conformal,2,RJ,-8.0,7,-3.1486581973564576,-2.108695417524302
ensemble_conformal,2,RN,-3.0,9,-1.4765751925192134,-0.05793877940938067
ensemble_conformal,2,RO,-1.0,-1,-1.1419208157583698,-0.3077661127617579
ensemble_conformal,2,RR,0.0,5,-1.6094379124341005,-0.6916067789818366
ensemble_conformal,2,RS,1.0,-1,-1.5205673184799169,-1.5443887915934107
ensemble_conformal,2,SC,-2.0,0,-2.4367214383586475,-2.235528739978187
ensemble_conformal,2,SE,0.0,12,-0.8462805663015062,-0.009770494752686307
ensemble_conformal,2,SP,-5.0,-6,-2.9394439856445973,-2.4826796563694975
ensemble_conformal,2,TO,-2.0,-1,0.14359053753331816,0.5200066661001606
ensemble_conformal,3,AC,0.0,-2,-1.2345679249041388,-0.9492857250607583
ensemble_conformal,3,AL,0.0,-13,-1.814333791266594,-0.39955107486703434
ensemble_conformal,3,AM,0.0,-5,-0.527250503433391,-0.18876958752537765
